product_category,product_subcategory,selling_price,cost_price,discount_percent,advertising_cost,shipping_cost,return_rate,product_rating,season,marketing_channel,competition_level,platform,region,state,city,payment_method,demand,revenue,profit
Books,Fiction,1051.9,573.45,10.17,12654.3,301.92,5.63,2.53,Dussehra,Search Ads,High,Flipkart,South,Karnataka,Bengaluru,Credit Card,463,437498.78,11876.09
Home & Kitchen,Home Decor,4986.9,2479.56,7.71,16958.76,273.21,4.07,4.29,Regular Season,Influencer,Medium,Myntra,North,Delhi,New Delhi,Debit Card,738,3396578.59,1325353.03
Home & Kitchen,Home Decor,7237.46,3817.38,46.3,19617.82,120.36,6.21,4.24,Christmas,Influencer,High,Amazon,Central,Rajasthan,Jaipur,Net Banking,1340,5207931.47,-172680.63
Automotive,Cleaning Care,2089.91,865.39,34.79,20059.06,325.75,9.51,3.72,Christmas,Social Media,Medium,Flipkart,North,Delhi,New Delhi,COD,1625,2214599.26,200333.6
Sports & Fitness,Supplements,3917.36,1958.12,27.19,22783.18,258.93,6.83,3.12,Regular Season,Organic Search,Medium,Flipkart,North,Delhi,New Delhi,UPI,511,1457489.44,280189.98
Beauty & Personal Care,Haircare,1401.99,466.56,39.69,31347.48,195.4,3.44,4.21,Raksha Bandhan,Search Ads,Medium,Myntra,West,Maharashtra,Mumbai,UPI,2768,2340455.19,456393.15
Automotive,Car Electronics,2676.41,1208.65,36.11,18014.79,223.45,14.77,3.46,Eid,Affiliate,High,Myntra,East,West Bengal,Kolkata,Credit Card,1036,1771516.85,206514.55
Automotive,Riding Gear,3740.42,2167.16,28.4,25288.14,171.72,5.14,2.86,Diwali,Influencer,High,Amazon,East,West Bengal,Kolkata,Net Banking,959,2568336.95,269124.39
Home & Kitchen,Kitchen Appliances,3460.25,1846.15,16.34,27705.13,176.99,8.0,3.11,Navratri,Influencer,Medium,Flipkart,North,Delhi,New Delhi,UPI,850,2460618.38,675842.04
Toys & Games,Puzzles,3203.53,1747.84,39.36,4826.62,50.76,11.4,3.84,Regular Season,Organic Search,Medium,Flipkart,North,Delhi,New Delhi,UPI,701,1361777.03,59184.37
Sports & Fitness,Gym Equipment,5193.79,3533.09,42.44,19370.16,148.76,13.7,3.42,Holi,Email Marketing,Medium,Flipkart,West,Maharashtra,Mumbai,COD,1364,4077740.09,-1142628.08
Fashion,Men's Apparel,3887.25,1777.05,10.41,33350.65,266.6,27.56,2.72,Regular Season,Affiliate,Medium,Myntra,West,Maharashtra,Mumbai,Net Banking,406,1413930.43,486232.33
Automotive,Helmets,1972.08,1106.54,42.05,34238.8,301.13,10.72,4.58,Diwali,Organic Search,Low,Meesho,North,Delhi,New Delhi,Credit Card,6548,7483187.72,-2068345.4
Beauty & Personal Care,Skincare,1495.06,667.14,9.25,32211.88,96.2,4.9,4.87,Diwali,Organic Search,Medium,Flipkart,West,Maharashtra,Mumbai,UPI,3060,4151706.87,1751454.73
Toys & Games,Board Games,4749.64,2461.18,25.26,26106.83,249.43,10.28,4.21,Raksha Bandhan,Organic Search,Medium,Flipkart,North,Delhi,New Delhi,Net Banking,1433,5086979.38,1067555.77
Toys & Games,Educational Toys,5399.3,2576.59,41.56,32939.96,237.26,11.37,3.95,Regular Season,Search Ads,Medium,Myntra,West,Maharashtra,Mumbai,COD,1502,4739337.08,349729.26
Fashion,Handbags,4168.45,2008.44,5.42,39430.83,137.19,16.58,4.78,Republic Day,Search Ads,Medium,Myntra,North,Delhi,New Delhi,UPI,1416,5582608.33,2370979.41
Automotive,Helmets,4594.77,3014.73,21.33,21121.98,98.08,9.49,2.59,Dussehra,Search Ads,Medium,Amazon,East,West Bengal,Kolkata,Debit Card,701,2533908.6,277305.78
Beauty & Personal Care,Makeup,2550.82,1191.94,27.71,3864.12,143.78,2.81,2.68,Raksha Bandhan,Affiliate,High,Amazon,East,West Bengal,Kolkata,Debit Card,376,693339.4,183336.61
Sports & Fitness,Yoga Mats,5265.6,3617.24,54.89,13777.13,281.56,11.75,3.3,Holi,Email Marketing,Medium,Amazon,North,Delhi,New Delhi,UPI,1210,2874127.71,-2005783.09
Electronics,Accessories,6757.74,4808.31,52.58,19559.76,220.75,4.34,2.92,Dussehra,Affiliate,Medium,Amazon,South,Karnataka,Bengaluru,Credit Card,1057,3387177.97,-2008305.39
Beauty & Personal Care,Haircare,2577.31,1147.22,18.62,34339.97,71.95,3.77,2.63,Holi,Search Ads,Low,Snapdeal,East,West Bengal,Kolkata,COD,883,1852017.34,730405.2
Fashion,Men's Apparel,1527.89,661.15,21.74,16314.05,151.75,14.07,3.6,Regular Season,Influencer,Medium,Snapdeal,West,Maharashtra,Mumbai,UPI,856,1023542.07,282340.2
Toys & Games,Dolls,3154.69,2069.13,39.74,38185.98,280.74,14.44,4.77,Raksha Bandhan,Email Marketing,Medium,Myntra,Central,Rajasthan,Jaipur,Debit Card,2531,4811471.99,-1414591.43
Sports & Fitness,Sportswear,4722.29,2385.64,33.22,1897.28,296.5,11.93,4.06,Dussehra,Affiliate,Low,Flipkart,West,Maharashtra,Mumbai,Net Banking,1295,4083841.11,493527.4
Beauty & Personal Care,Makeup,2151.74,920.43,23.44,7197.75,310.27,7.71,3.97,Holi,Influencer,Low,Flipkart,West,Maharashtra,Mumbai,Credit Card,1280,2108636.34,488123.78
Electronics,Laptops,24229.44,15784.34,54.81,12248.88,88.32,9.03,3.69,Christmas,Influencer,High,Amazon,North,Delhi,New Delhi,COD,589,6449128.24,-3124345.34
Electronics,Smartwatches,5270.6,3666.35,48.95,33245.43,330.99,4.34,3.89,Republic Day,Affiliate,Low,Meesho,West,Maharashtra,Mumbai,UPI,2077,5588461.98,-2844799.49
Home & Kitchen,Kitchen Appliances,3771.22,2364.4,10.84,22834.55,312.75,8.02,3.59,Holi,Search Ads,High,Myntra,North,Delhi,New Delhi,UPI,764,2568888.69,454911.65
Home & Kitchen,Cookware,1462.61,844.48,39.93,2127.44,167.4,12.87,3.44,Diwali,Social Media,High,Myntra,North,Delhi,New Delhi,UPI,1254,1101751.64,-216854.26
Books,Competitive Exams,1156.16,588.85,15.89,4018.41,59.2,4.58,2.85,Eid,Email Marketing,Medium,Meesho,South,Karnataka,Bengaluru,Debit Card,782,760452.91,243326.75
Fashion,Handbags,1050.24,429.76,12.18,17753.03,193.55,23.61,3.26,Republic Day,Affiliate,Low,Amazon,East,West Bengal,Kolkata,UPI,1148,1058824.24,270160.32
Automotive,Cleaning Care,3027.08,1433.09,26.29,4159.81,109.39,9.22,3.49,Regular Season,Search Ads,Medium,Flipkart,West,Maharashtra,Mumbai,UPI,691,1541801.12,445477.39
Beauty & Personal Care,Makeup,1936.08,766.23,16.45,23890.28,149.05,4.26,2.55,Christmas,Influencer,Low,Amazon,North,Delhi,New Delhi,COD,756,1222901.7,498490.39
Beauty & Personal Care,Skincare,2134.29,948.8,46.45,895.41,142.22,6.71,2.61,Republic Day,Affiliate,Low,Myntra,South,Karnataka,Bengaluru,Credit Card,656,749750.47,19574.87
Automotive,Car Electronics,3383.69,1518.33,43.54,5618.89,331.28,4.38,4.8,Eid,Influencer,Medium,Snapdeal,Central,Rajasthan,Jaipur,Credit Card,1902,3633640.47,64642.18
Books,Self-Help,957.16,525.4,6.62,4907.11,206.2,2.83,2.94,Navratri,Affiliate,High,Snapdeal,East,West Bengal,Kolkata,Credit Card,405,361987.38,58095.12
Toys & Games,Board Games,5385.34,2353.89,43.25,32292.88,114.83,9.1,2.78,Diwali,Influencer,Low,Snapdeal,North,Delhi,New Delhi,COD,1996,6100136.18,1022961.76
Toys & Games,Educational Toys,430.56,229.31,17.96,16872.16,142.92,13.29,4.33,Independence Day,Influencer,Medium,Amazon,South,Karnataka,Bengaluru,UPI,2166,765099.26,-95096.03
Books,Non-Fiction,158.15,88.23,11.26,28354.43,86.37,4.46,4.9,Independence Day,Affiliate,High,Amazon,North,Delhi,New Delhi,Debit Card,2103,295139.88,-106517.69
Toys & Games,Educational Toys,1193.72,527.24,24.52,31466.82,182.23,10.36,3.28,Diwali,Email Marketing,Low,Amazon,South,Karnataka,Bengaluru,Net Banking,2136,1924578.41,328352.69
Home & Kitchen,Kitchen Appliances,1230.76,745.99,15.02,32117.34,126.08,4.17,3.69,Christmas,Social Media,Medium,Meesho,East,West Bengal,Kolkata,UPI,1605,1678669.26,230178.4
Beauty & Personal Care,Fragrances,1020.42,434.01,35.73,12024.52,46.39,3.63,3.47,Navratri,Organic Search,High,Snapdeal,West,Maharashtra,Mumbai,COD,1404,920776.8,227558.69
Books,Competitive Exams,302.72,129.04,51.36,12354.04,128.98,3.77,3.6,Republic Day,Affiliate,Medium,Amazon,Central,Rajasthan,Jaipur,Credit Card,1922,283001.06,-232277.87
Beauty & Personal Care,Fragrances,2090.62,921.05,48.95,26306.73,318.26,4.89,4.23,Regular Season,Search Ads,Low,Flipkart,East,West Bengal,Kolkata,UPI,2420,2582772.85,-488744.01
Automotive,Helmets,4547.49,2524.44,35.19,3319.76,273.58,10.88,3.29,Independence Day,Email Marketing,Medium,Amazon,West,Maharashtra,Mumbai,UPI,557,1641606.15,33253.28
Electronics,Headphones,6948.85,5258.54,40.09,26695.95,50.13,11.87,4.71,Holi,Affiliate,High,Meesho,South,Karnataka,Bengaluru,UPI,1683,7006423.31,-2222398.93
Home & Kitchen,Storage,3393.4,1839.99,6.18,19570.95,212.17,6.34,4.83,Christmas,Organic Search,Medium,Myntra,South,Karnataka,Bengaluru,UPI,1361,4332999.2,1471592.7
Sports & Fitness,Supplements,1948.86,1316.74,41.41,25737.09,251.4,4.53,2.97,Holi,Affiliate,Medium,Flipkart,North,Delhi,New Delhi,COD,1716,1959392.42,-792633.3
Home & Kitchen,Bedding,6124.14,2818.04,9.69,12241.17,177.42,11.88,4.18,Raksha Bandhan,Affiliate,Low,Meesho,South,Karnataka,Bengaluru,COD,1095,6056128.36,2660671.67
Books,Self-Help,310.31,134.34,7.28,23165.94,51.29,3.66,3.43,Raksha Bandhan,Email Marketing,High,Flipkart,Central,Rajasthan,Jaipur,Credit Card,1161,334042.26,92843.05
Sports & Fitness,Yoga Mats,2520.14,1430.02,46.6,22410.19,140.4,5.14,2.68,Diwali,Email Marketing,High,Snapdeal,Central,Rajasthan,Jaipur,Net Banking,1134,1526085.9,-302110.47
Electronics,Accessories,1533.04,1038.66,5.33,6725.25,189.65,5.55,4.28,Independence Day,Organic Search,Medium,Amazon,West,Maharashtra,Mumbai,COD,795,1153806.53,154933.84
Books,Fiction,319.82,158.19,30.26,5282.26,231.25,3.86,3.09,Holi,Email Marketing,Low,Meesho,West,Maharashtra,Mumbai,UPI,2009,448092.32,-351608.12
Fashion,Watches,1039.27,404.41,48.68,12543.53,312.77,17.54,3.78,Regular Season,Influencer,Medium,Amazon,Central,Rajasthan,Jaipur,Net Banking,1669,890166.76,-394727.75
Beauty & Personal Care,Makeup,427.74,161.8,14.85,35092.97,299.4,3.99,2.88,Regular Season,Affiliate,Low,Meesho,South,Karnataka,Bengaluru,COD,1037,377696.77,-143528.3
Electronics,Headphones,8010.65,5826.35,23.37,18130.26,198.71,10.5,3.46,Republic Day,Email Marketing,High,Snapdeal,East,West Bengal,Kolkata,Credit Card,491,3014033.5,-42617.84
Beauty & Personal Care,Grooming,2415.91,1031.05,49.42,7763.25,344.34,7.21,3.57,Christmas,Email Marketing,Medium,Myntra,West,Maharashtra,Mumbai,UPI,1446,1766964.68,-274435.81
Toys & Games,Educational Toys,1960.01,924.9,47.23,38917.52,74.17,6.38,4.28,Christmas,Organic Search,Low,Amazon,South,Karnataka,Bengaluru,COD,3423,3540399.58,23069.93
Fashion,Watches,3375.64,1283.18,51.85,34926.49,188.59,22.9,4.29,Navratri,Search Ads,Low,Amazon,Central,Rajasthan,Jaipur,UPI,4111,6681898.78,205752.21
Fashion,Footwear,2805.7,1084.9,13.53,4351.09,148.47,24.12,3.04,Dussehra,Email Marketing,Low,Myntra,South,Karnataka,Bengaluru,UPI,690,1674001.27,761130.66
Electronics,Laptops,23306.23,19469.53,42.86,18806.14,339.77,4.32,2.75,Holi,Search Ads,High,Amazon,South,Karnataka,Bengaluru,COD,447,5952779.38,-3018055.51
Fashion,Watches,3209.38,1542.04,40.28,33518.23,341.65,25.74,3.15,Regular Season,Social Media,Medium,Amazon,Central,Rajasthan,Jaipur,UPI,799,1531396.75,-121607.09
Sports & Fitness,Supplements,2534.44,1287.29,8.92,11655.29,234.42,11.01,3.39,Navratri,Social Media,High,Amazon,North,Delhi,New Delhi,Credit Card,710,1638941.25,512552.25
Fashion,Handbags,1876.61,875.84,8.89,25466.29,296.74,27.83,2.97,Diwali,Influencer,Low,Flipkart,South,Karnataka,Bengaluru,UPI,1585,2710000.3,663963.43
Beauty & Personal Care,Fragrances,1484.37,571.06,32.82,22136.59,86.41,6.8,2.7,Regular Season,Influencer,High,Amazon,West,Maharashtra,Mumbai,UPI,675,673109.84,198644.98
Beauty & Personal Care,Makeup,2978.08,1012.91,48.82,26603.56,87.72,7.86,4.1,Navratri,Organic Search,Medium,Amazon,Central,Rajasthan,Jaipur,UPI,3006,4581689.12,1176398.44
Books,Fiction,750.69,341.31,26.57,3323.74,316.04,3.88,4.79,Regular Season,Affiliate,High,Flipkart,North,Delhi,New Delhi,Credit Card,1169,644389.82,-138413.63
Beauty & Personal Care,Makeup,2396.22,722.13,21.75,20909.76,151.29,4.67,3.73,Christmas,Influencer,Low,Flipkart,North,Delhi,New Delhi,COD,1449,2716936.08,1413105.64
Books,Self-Help,360.18,202.82,12.61,27403.42,274.4,2.73,4.4,Holi,Email Marketing,Medium,Myntra,North,Delhi,New Delhi,COD,2075,653129.7,-375149.57
Beauty & Personal Care,Fragrances,2259.75,921.98,47.63,20084.67,260.63,6.72,3.56,Independence Day,Search Ads,High,Flipkart,South,Karnataka,Bengaluru,Net Banking,1386,1640235.47,-52552.21
Sports & Fitness,Gym Equipment,1264.53,620.01,15.96,14029.53,302.44,11.03,3.88,Navratri,Email Marketing,Medium,Flipkart,Central,Rajasthan,Jaipur,Credit Card,1399,1486732.71,134942.53
Automotive,Car Electronics,542.77,244.08,36.74,37887.62,84.91,8.46,3.45,Regular Season,Email Marketing,High,Myntra,South,Karnataka,Bengaluru,COD,979,336145.82,-32393.16
Books,Non-Fiction,1100.76,530.37,13.01,32472.89,124.99,3.78,2.69,Navratri,Organic Search,Low,Amazon,South,Karnataka,Bengaluru,COD,1167,1117462.16,311578.33
Home & Kitchen,Home Decor,1120.89,566.21,9.1,25935.2,72.64,5.38,3.11,Eid,Influencer,Medium,Flipkart,North,Delhi,New Delhi,UPI,1110,1130966.8,385285.91
Toys & Games,Action Figures,799.83,438.87,27.51,17060.99,57.56,7.04,3.7,Regular Season,Affiliate,Medium,Flipkart,North,Delhi,New Delhi,UPI,1232,714309.62,73634.59
Electronics,Smartphones,22178.95,16822.68,26.39,34652.59,213.19,7.92,4.58,Regular Season,Email Marketing,Medium,Meesho,Central,Rajasthan,Jaipur,UPI,836,13648473.38,-913686.77
Beauty & Personal Care,Makeup,1064.24,388.64,12.81,1660.7,226.08,5.39,4.63,Holi,Organic Search,Medium,Flipkart,East,West Bengal,Kolkata,COD,1305,1210923.67,392268.01
Fashion,Men's Apparel,3389.63,1520.49,18.1,33231.07,89.08,21.46,4.26,Navratri,Email Marketing,Medium,Flipkart,East,West Bengal,Kolkata,Debit Card,1977,5488363.48,2092843.42
Automotive,Car Accessories,5234.11,3569.82,36.96,18336.63,240.34,8.15,4.26,Diwali,Social Media,Medium,Flipkart,West,Maharashtra,Mumbai,UPI,2384,7866205.74,-1432301.32
Beauty & Personal Care,Skincare,1653.91,811.71,13.8,39498.58,257.51,3.83,2.88,Diwali,Organic Search,Medium,Meesho,South,Karnataka,Bengaluru,UPI,1229,1752148.95,382966.46
Fashion,Women's Ethnic Wear,1593.34,686.5,51.14,7615.57,122.46,17.5,4.72,Regular Season,Social Media,Medium,Meesho,East,West Bengal,Kolkata,UPI,1735,1350707.78,-131153.99
Toys & Games,Educational Toys,3620.12,2478.65,29.97,30779.82,331.72,7.55,3.98,Regular Season,Organic Search,Low,Flipkart,South,Karnataka,Bengaluru,COD,1367,3465577.44,-488050.77
Toys & Games,Board Games,1189.0,709.95,34.02,1728.3,189.25,7.89,2.76,Independence Day,Affiliate,High,Amazon,North,Delhi,New Delhi,UPI,428,335766.94,-60007.98
Toys & Games,Educational Toys,5780.4,2958.91,20.17,17905.58,54.26,5.5,4.52,Regular Season,Influencer,High,Myntra,Central,Rajasthan,Jaipur,COD,749,3456255.5,1149894.9
Fashion,Watches,4262.87,1852.6,10.25,37857.89,43.83,12.79,3.43,Diwali,Affiliate,Medium,Snapdeal,South,Karnataka,Bengaluru,COD,1431,5474899.86,2634471.67
Beauty & Personal Care,Skincare,2273.19,975.77,11.43,29958.8,285.56,4.0,2.6,Eid,Search Ads,Medium,Meesho,West,Maharashtra,Mumbai,COD,611,1230165.64,420082.71
Toys & Games,Board Games,5439.84,3475.87,12.9,14506.6,187.11,14.58,2.6,Diwali,Search Ads,Low,Flipkart,South,Karnataka,Bengaluru,COD,657,3112932.12,599647.05
Sports & Fitness,Gym Equipment,4721.69,2792.42,9.9,22964.77,173.22,7.36,4.39,Republic Day,Search Ads,High,Flipkart,Central,Rajasthan,Jaipur,UPI,677,2880122.3,810319.1
Books,Children Books,926.09,458.25,53.74,37173.13,274.22,2.58,2.78,Regular Season,Email Marketing,High,Flipkart,East,West Bengal,Kolkata,Credit Card,1038,444688.78,-359528.1
Fashion,Watches,4038.63,1519.76,18.47,18754.93,346.51,14.48,2.87,Navratri,Social Media,High,Amazon,South,Karnataka,Bengaluru,Credit Card,621,2044763.62,817311.28
Fashion,Women's Ethnic Wear,1267.52,577.83,6.66,8806.1,91.9,17.2,4.26,Regular Season,Search Ads,High,Amazon,South,Karnataka,Bengaluru,Debit Card,708,837637.04,331475.04
Beauty & Personal Care,Grooming,707.61,255.91,36.46,35908.44,303.51,2.15,3.56,Regular Season,Search Ads,Medium,Amazon,West,Maharashtra,Mumbai,UPI,1805,811555.79,-242477.79
Fashion,Footwear,2206.0,1049.08,14.5,31983.81,296.8,23.17,4.43,Diwali,Search Ads,Medium,Snapdeal,West,Maharashtra,Mumbai,UPI,2916,5499955.08,1265921.26
Fashion,Handbags,2132.21,979.67,36.1,2676.93,261.97,24.96,4.09,Christmas,Search Ads,Medium,Meesho,South,Karnataka,Bengaluru,UPI,1086,1479655.66,26663.45
Toys & Games,Board Games,5642.55,2584.06,26.14,30382.36,218.52,10.49,3.72,Holi,Affiliate,Low,Flipkart,West,Maharashtra,Mumbai,UPI,1596,6651469.54,2021721.06
Beauty & Personal Care,Skincare,1512.79,574.56,37.13,37216.62,75.35,7.21,2.54,Raksha Bandhan,Social Media,Medium,Myntra,North,Delhi,New Delhi,Net Banking,1079,1026227.27,273652.2
Toys & Games,Action Figures,3240.6,1832.12,47.31,15590.43,156.74,7.93,4.74,Christmas,Social Media,High,Amazon,South,Karnataka,Bengaluru,UPI,1812,3093939.52,-602541.4
Books,Self-Help,557.45,239.85,33.86,5773.43,309.02,2.95,3.35,Raksha Bandhan,Affiliate,Medium,Flipkart,West,Maharashtra,Mumbai,UPI,1094,403354.99,-209803.89
Automotive,Car Accessories,1119.72,616.7,12.0,33489.74,155.63,14.71,2.84,Regular Season,Influencer,Medium,Amazon,East,West Bengal,Kolkata,UPI,711,700586.41,93706.65
Books,Self-Help,546.51,289.67,39.59,36578.12,80.62,5.67,2.73,Christmas,Email Marketing,High,Flipkart,Central,Rajasthan,Jaipur,Net Banking,1187,391884.12,-91815.12
Automotive,Helmets,4979.59,3338.15,50.92,33418.7,313.59,7.11,2.62,Regular Season,Organic Search,Medium,Myntra,West,Maharashtra,Mumbai,UPI,497,1214659.44,-668704.46
Toys & Games,Dolls,5442.4,2717.16,21.87,14266.15,178.52,13.12,2.65,Christmas,Influencer,Medium,Meesho,East,West Bengal,Kolkata,COD,622,2644835.51,766737.8
Books,Competitive Exams,971.88,506.61,8.04,557.22,194.8,1.96,4.7,Holi,Search Ads,Low,Flipkart,East,West Bengal,Kolkata,Credit Card,1085,969708.82,203357.05
Beauty & Personal Care,Haircare,417.3,181.47,46.12,31872.14,117.77,5.89,2.8,Dussehra,Search Ads,Low,Flipkart,Central,Rajasthan,Jaipur,UPI,2005,450806.69,-193353.3
Electronics,Accessories,6830.25,4529.04,39.35,12684.47,99.88,10.64,3.07,Christmas,Social Media,Medium,Flipkart,North,Delhi,New Delhi,UPI,807,3343035.13,-506697.15
Toys & Games,Board Games,548.58,320.76,12.48,9868.93,250.78,12.7,4.81,Diwali,Organic Search,Medium,Flipkart,East,West Bengal,Kolkata,COD,2495,1197892.45,-303109.89
Automotive,Cleaning Care,2505.51,1563.14,39.08,29297.74,158.09,14.1,4.24,Diwali,Affiliate,Low,Flipkart,North,Delhi,New Delhi,Credit Card,3933,6003160.87,-1056280.1
Sports & Fitness,Supplements,3912.9,1840.66,38.35,30533.06,177.65,6.39,3.46,Republic Day,Social Media,High,Flipkart,North,Delhi,New Delhi,UPI,997,2405065.94,327302.59
Automotive,Helmets,4290.71,2462.38,26.84,18622.76,135.73,10.67,3.28,Regular Season,Email Marketing,Low,Flipkart,South,Karnataka,Bengaluru,Debit Card,619,1943092.65,271099.11
Sports & Fitness,Supplements,914.71,577.45,26.11,13583.48,172.07,3.54,3.64,Navratri,Social Media,High,Flipkart,West,Maharashtra,Mumbai,UPI,1273,860394.25,-117710.87
Fashion,Footwear,4375.89,2049.83,29.69,20189.37,255.2,15.75,2.57,Diwali,Email Marketing,Medium,Flipkart,West,Maharashtra,Mumbai,COD,957,2944390.66,621813.31
Books,Non-Fiction,925.42,408.78,49.99,23493.21,165.31,4.02,4.09,Republic Day,Influencer,Low,Flipkart,West,Maharashtra,Mumbai,COD,2471,1143585.08,-316846.45
Sports & Fitness,Gym Equipment,3551.56,2036.74,22.24,35523.97,228.87,13.0,2.97,Regular Season,Email Marketing,Low,Myntra,South,Karnataka,Bengaluru,UPI,873,2410958.04,326781.91
Automotive,Car Accessories,620.05,377.56,47.42,33214.15,101.96,6.13,3.92,Eid,Organic Search,High,Myntra,South,Karnataka,Bengaluru,UPI,2403,783431.56,-423482.72
Fashion,Women's Ethnic Wear,1891.39,866.08,50.67,15412.94,311.98,27.66,4.27,Holi,Affiliate,Medium,Flipkart,East,West Bengal,Kolkata,UPI,3071,2865312.67,-1084346.9
Electronics,Laptops,21963.62,18440.96,11.4,9002.08,276.15,4.88,3.28,Eid,Search Ads,Low,Myntra,East,West Bengal,Kolkata,Credit Card,563,10955849.0,278656.88
Beauty & Personal Care,Fragrances,2786.62,1303.99,10.58,13095.1,262.36,5.29,4.69,Regular Season,Social Media,Medium,Amazon,West,Maharashtra,Mumbai,UPI,950,2367205.82,843102.76
Beauty & Personal Care,Skincare,1083.08,473.85,19.99,17849.87,211.74,6.34,4.72,Christmas,Influencer,High,Snapdeal,South,Karnataka,Bengaluru,UPI,1809,1567629.31,283818.3
Beauty & Personal Care,Makeup,1867.11,667.23,54.47,2733.39,291.23,4.7,3.89,Raksha Bandhan,Affiliate,Low,Amazon,North,Delhi,New Delhi,Net Banking,1871,1590528.09,-232957.46
Sports & Fitness,Supplements,2826.36,1811.24,10.81,22031.71,280.69,9.79,3.39,Diwali,Affiliate,Medium,Snapdeal,West,Maharashtra,Mumbai,UPI,1292,3256912.99,457081.44
Electronics,Smartwatches,11582.99,7682.53,48.54,3446.48,337.75,4.22,4.43,Eid,Social Media,Medium,Amazon,East,West Bengal,Kolkata,Debit Card,1350,8046818.98,-2903044.74
Sports & Fitness,Supplements,1568.47,1048.33,23.88,28849.39,69.94,6.02,2.91,Holi,Influencer,Low,Amazon,East,West Bengal,Kolkata,UPI,1316,1571197.88,47171.72
Books,Non-Fiction,1356.56,590.15,17.05,5551.75,72.1,5.25,3.91,Diwali,Affiliate,High,Myntra,South,Karnataka,Bengaluru,UPI,1322,1487602.34,593814.2
Sports & Fitness,Cycles,518.98,305.07,36.45,21004.15,122.21,8.1,4.58,Diwali,Search Ads,Medium,Amazon,Central,Rajasthan,Jaipur,Debit Card,5601,1847275.84,-629246.88
Electronics,Smartphones,22744.09,16629.44,46.02,6523.14,160.12,8.22,3.46,Christmas,Affiliate,Medium,Myntra,South,Karnataka,Bengaluru,UPI,681,8360813.91,-3316602.73
Electronics,Headphones,13728.01,9474.74,10.89,20182.38,319.46,9.38,2.98,Dussehra,Affiliate,Low,Amazon,North,Delhi,New Delhi,Credit Card,507,6202146.06,1096061.46
Books,Children Books,480.63,200.52,51.38,1572.7,250.77,5.36,2.59,Eid,Organic Search,High,Flipkart,Central,Rajasthan,Jaipur,UPI,798,186478.48,-182730.91
Electronics,Smartphones,10622.24,9018.35,21.19,32100.88,136.44,11.09,4.1,Christmas,Organic Search,Medium,Amazon,Central,Rajasthan,Jaipur,Credit Card,1159,9702437.93,-1238622.21
Automotive,Car Electronics,3293.23,1881.69,31.82,11780.61,289.66,10.82,3.88,Republic Day,Affiliate,Medium,Snapdeal,East,West Bengal,Kolkata,UPI,1036,2326155.89,-4110.17
Electronics,Accessories,16761.22,13194.13,49.23,6877.25,110.87,8.54,2.64,Holi,Email Marketing,High,Flipkart,West,Maharashtra,Mumbai,Credit Card,366,3114539.73,-1866800.47
Beauty & Personal Care,Fragrances,1661.45,560.69,5.27,23039.28,233.36,6.9,4.6,Diwali,Email Marketing,Medium,Flipkart,North,Delhi,New Delhi,Credit Card,2024,3185556.57,1519489.1
